school_code,school_name,location,city,school_nature,school_level,is985,is211,is_double_first,description
13411,河北师范大学汇华学院,石家庄,石家庄市,民办,本科,0,0,0,河北师范大学汇华学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
10082,河北科技大学,石家庄,石家庄市,公办,本科,0,0,0,河北科技大学是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
13409,河北科技大学理工学院,石家庄,石家庄市,民办,本科,0,0,0,河北科技大学理工学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
11832,河北经贸大学,石家庄,石家庄市,公办,本科,0,0,0,河北经贸大学是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
13414,河北经贸大学经济管理学院,石家庄,石家庄市,民办,本科,0,0,0,河北经贸大学经济管理学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
13075,河北美术学院,石家庄,石家庄市,民办,本科,0,0,0,河北美术学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
10102,石家庄学院,石家庄,石家庄市,公办,本科,0,0,0,石家庄学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
10107,石家庄铁道大学,石家庄,石家庄市,公办,本科,0,0,0,石家庄铁道大学是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
13593,石家庄铁道大学四方学院,石家庄,石家庄市,民办,本科,0,0,0,石家庄铁道大学四方学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
10759,石河子大学,石河子,石河子市,公办,本科,1,1,1,石河子大学是教育部公布的普通高等学校（本科），位于石河子·石河子市。
13628,石河子大学科技学院,石河子,石河子市,民办,本科,0,0,0,石河子大学科技学院是教育部公布的普通高等学校（本科），位于石河子·石河子市。
